mint,token_class,trade_events_5m,priceable_events_5m,sol_priceable_events_5m,quote_priceable_events_5m,unavailable_events_5m,quote_mints,old_sol_unpriceable,quote_rescued,path_conflict_seen,quote_flow_mint_conflict,price_identity,first_price_proxy,current_price_proxy,return_from_t0_bps,drawdown_from_high_bps,strategy_v01_flow_compatible,sol_buy_volume_lamports,sol_sell_volume_lamports,quote_buy_volume_raw,quote_sell_volume_raw,quote_flow_mint
24q8bC3bPosFTY4bM44Zkswjpk3h4Qtcz9hrt8KXpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589935004659832246039142590866728797763280521901211556384,0.0000279589935004659832246039142590866728797763280521901211556384,0,0,True,0,899252551,0,899252551,11111111111111111111111111111111
24qDEfnRLxeHdEboaa6RA4VYXQeZvpWzSMk1sdzQpump,SOL_ONLY,14,14,14,0,0,,False,False,False,False,SOL_NATIVE,0.0000267296573973232843884066971442043162727367844052487132168939,0.0000296533077557078381064149020452344341145218466624757538211680,1094,-1099,True,499653949,261280172,499653949,261280172,11111111111111111111111111111111
24qDrKc9iJuJcRmGAu3F3hPcJDYZoTEPdMZN9zvApump,SOL_ONLY,6,6,6,0,0,,False,False,False,False,SOL_NATIVE,0.0000286102026274408668297988825131300749494251145125598782896548,0.0000485303902938966255668400690841438306620367316583106533593705,6963,0,True,223654699,38364860,223654699,38364860,11111111111111111111111111111111
24qGhPYDfZGWUvfVe29DTKzPczBXqXN8qAzgQrD2pump,SOL_ONLY,12,12,12,0,0,,False,False,False,False,SOL_NATIVE,0.0000582017592945466324399786919673547594709878626278473950089169,0.000159994319721298499496749444666340022365963658510687106203677,17490,-2800,True,5132689689,1351989585,5132689689,1351989585,11111111111111111111111111111111
24qHNPpJmLox4sktTFgzQhwRFGqWqSvJfxJSvP5Upump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.00000161027250181032952178346096442768951421960895648601644462373,0.00000168712318375414489447928132657827398984726131560345680759963,477,0,True,1745988,3896060,1745988,3896060,11111111111111111111111111111111
24qKPdpsFWdmfFWL3nQ76THGLtzXCAWQtuRuBKampump,SOL_ONLY,7,7,7,0,0,,False,False,False,False,SOL_NATIVE,0.0000283283319742155899726529755986833862466626831121348271965101,0.0000218981930283278480647250923202131698819900237770021340506072,-2270,-3814,True,249892887,95279306,249892887,95279306,11111111111111111111111111111111
24qLbu5Y3YkEVpbXXWkgLcZeHFsFrWSpcnQJ492spump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,0.0000334938205283368064446333324143157105188069981519028823882000,0.0000280533687855176863744462560250607260732980247326099179902844,-1624,-1624,True,0,355906421,0,355906421,11111111111111111111111111111111
24qLtuXFx2TxiU3GCEofwW5cj2RxjbBwTQeJmPmDpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000281433597875892947448784760730833275829110382507254490257750,0.0000281433597875892947448784760730833275829110382507254490257750,0,0,True,98750000,0,98750000,0,11111111111111111111111111111111
24qM2G5rsxCAzYXWwvnDrQsr5xeYpGpTxH4U4bxapump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279825086790719672264260818601295163872669422934040288003633,0.0000279825086790719672264260818601295163872669422934040288003633,0,0,True,0,98833191,0,98833191,11111111111111111111111111111111
24qMAAeUS4ggVmwPmJrwjWjNgTo1zeNjoeiNauDvpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589934771668219944082013047530288909599254426840633737185,0.0000279589934771668219944082013047530288909599254426840633737185,0,0,True,0,98749999,0,98749999,11111111111111111111111111111111
24qPCKdD7pyyneLVu8MnAEvGjBZuc2sDHiR1wsdppump,SOL_ONLY,14,14,14,0,0,,False,False,False,False,SOL_NATIVE,0.0000499756963021758243363501299392756394432733781778733104804532,0.000190221520815161219384860166108097263979374890744166932558605,28063,0,True,320903024,142620485,320903024,142620485,11111111111111111111111111111111
24qPHs5KK7wqr9nqTStFUqsmwsFxUiCor8jQu9Qipump,SOL_ONLY,22,22,22,0,0,,False,False,False,False,SOL_NATIVE,0.00000989299191319187995657101321904971351043287324983589861507890,0.00000329933420371194509841515917266376974465413229141213396295938,-6665,-7935,True,219830100,371289752,219830100,371289752,11111111111111111111111111111111
24qQuaGtRT856q9AFZJHyCxi15Sx25jE9hBNFh7Ypump,SOL_ONLY,7,7,7,0,0,,False,False,False,False,SOL_NATIVE,0.00125315306608723574246205664647324227576920052175559522857538,0.00125296693547506592282160216732885979031550675311850552275257,-1,-3,True,101838178,168994777,101838178,168994777,11111111111111111111111111111111
