mint,parameter_set_id,time_segment,first_tradable_observed_at_us,first_tradable_event_at_us,gap_event_count,market_events_available,market_events_processed,transition_count,response_failed_new_low_count,furthest_setup_stage,final_classification,last_reason,clock_expired,impulse_age_ms,impulse_return_bps,impulse_trade_count,impulse_unique_buyers,impulse_3s_buys,impulse_3s_net_flow_lamports,impulse_peak_age_ms,impulse_peak_return_bps,pullback_active_age_ms,impulse_to_pullback_ms,pullback_depth_at_activation_bps,deepest_pullback_depth_bps,pullback_low_age_ms,pullback_low_depth_at_response_bps,response_age_ms,pullback_to_response_ms,response_rebound_bps,response_window_buys,response_window_sells,response_window_net_flow_lamports,response_window_price_change_bps,response_10s_buys,response_10s_sells,response_10s_net_flow_lamports,candidate_age_ms,response_to_candidate_ms,candidate_return_from_t0_bps,candidate_drawdown_from_high_bps,reclaim_extension_bps,runaway_reject_age_ms
Be3xxfigaYz4hVNzZ3KUyu26BhnQ6ABeGtx3YYLfrkSL,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077103383754,1787076760000000,0,10,10,5,0,PULLBACK_ACTIVE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,187,2188,4,4,4,4073096578,2533,2241,47269,47082,2161,2161,47269,,,,,,,,,,,,,,,,,
GyHaKaX8qYapyeXmUWYySnY3LZjuPe9B962VPbCipump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077100628018,1787076760000000,0,3,3,3,0,IMPULSE_CONFIRMED,EXPIRED,ENTRY_WINDOW_EXPIRED,True,81849,1084,2,2,1,10841693,81849,1084,,,,,,,,,,,,,,,,,,,,,,
AcRtEv1cj7HeegGqXo4AGkruMVaHgFbnTK1Ao8t6pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077100613561,1787076760000000,0,56,15,9,1,CANDIDATE_SIGNAL,CANDIDATE_SIGNAL,RECLAIM_CONFIRMED,False,10259,1148,2,2,1,6889076,20931,3578,28002,17743,1344,6284,117887,2437,65289,37287,3557,1,0,21918988,0,1,1,9962459,154445,89156,-3134,-5068,3111,
468eVWi964Jy1SAFq1HJixr7erdTzTp9NKnKzKPYpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077098621864,1787076760000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9D5uDCxJmr9reRMoUdzvrS8sefwCDyQXGoTNNg3fgYw,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077067073986,1787076758000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2baicCwq8XaXZsni2jt9ofaBiNsCtFsjT5vHZUscpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077039432875,1787076756000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4AUPKtYEqt5VHe8zWN72o7QzWt1wjVRyZxEbUDepump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077028817897,1787076756000000,0,6,6,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNKCC9MRbADQZeud31YvyDapjjD1JENkwvEKSvvgpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077023896749,1787076755000000,0,5,5,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77oUtJndaiELNWWn7PD2cRtW4EMo3dsFFPmye75apump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077017999914,1787076755000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEnCFYxux8H6gKUh6QMduyzAYxaPy3TQBZKy3hCVhoCQ,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077015566437,1787076755000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61a3gXbmshsQFwBPpJZoe6SNzV4qm35ZCJxFtK4Jpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077008640683,1787076755000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8aM5uquSuunJFo25zafzHr72AF4BTbWiz78rwYqpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076999663459,1787076754000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3S27EpFcXVMghvMxsBNKYsZ4sKug1pUsmY1fBXrBpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076997025113,1787076753000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076994933369,1787076753000000,0,1,1,1,0,DISCOVERED,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di1EMmx93SbFcWymKJAiW3h8PfSss7XbzDrH6Epgpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076994719409,1787076753000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7VPDdPcjYp3h49sqMHtMtCppxqDhg8dDB1n5XLdppump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076993468615,1787076753000000,0,14,5,4,0,WAITING_FOR_PULLBACK,EXPIRED,ENTRY_WINDOW_EXPIRED,True,296483,592,3,3,2,982716048,299200,1819,,,,,,,,,,,,,,,,,,,,,,
34x9M7rcmv9ycDA8LdcX8cfmR7THWKPxX1zUxXX1pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076988336740,1787076753000000,0,3,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7G5QwVrFkRu4QmDB3nAkqjxJFsBx9WYwm1eGBGmMpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787076974566902,1787076753000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
