mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_pump_timestamp_delta_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports
BrtFjxbryd56QRziBsN18qAcd9iRtrMuDZQF8DVH2ix4,11,10,False,0,110956,1,3753,10,4,16843156453,1,3,8000000000,499,4,8000987654
BXrAJKpAcGJt2NACiXdt5wHwEi2KukWTAbgmjeKUpump,2,1,True,0,101123,0,0,1,0,72419657,0,1,-72419657,0,1,72419657
EZG1FtAVKbvK7bFcUcvekGbx5MQyjzWQraEqJJeapump,8,6,True,0,81253,427,403,6,4,1926324177,3,1,646913577,228,4,1288888884
9caYv4QJPXPNBG8ghnbLdXowyuVzfVkB8Y4a4umpump,1,1,False,0,72200,0,0,1,0,78715630,0,1,-78715630,0,1,78715630
HYcZNR8fUdUFSAW2PmgivxuQU2avfUwX6XmeQKPepump,79,50,True,0,58197,10125,3318,50,23,70674669133,6,2,7171672062,1867,14,36520370531
7De9qBYKGiqnJA3dU6Pv9sjZyvXecdZNfRK8dNtpump,1,1,False,0,55776,,0,1,0,0,0,1,0,,1,0
CXt2iDWiovFYk4fTMnx5wEve98fQGfBgiqmfvVxHpump,7,4,True,0,51189,1083,0,4,4,2495937070,2,0,1410251089,49,2,1410251089
AXF1HmVmXa2d7WJzANJpERtdTSegsw9kBHdgK3H1pump,1,1,False,0,49568,0,0,1,0,21405095,0,1,-21405095,0,1,21405095
6pMDSx3dC9gAFgFyb19DgaBpdP2q1mv3w4Gj4sRn5n4X,7,2,True,0,46957,98,0,2,1,887291665,1,1,146666666,0,1,740624999
4tDwumTUKbNMskmbYy31fTJ16a1Aeb9KszNWxsiNpump,25,6,True,0,41921,0,4278,6,1,29423906,1,1,8913563,0,1,8913563
gRrXUqdki1PQ5UC7EP64v6wjUvEfftEN98VDHexpump,1,1,False,0,37706,0,0,1,1,196542,1,0,196542,0,1,196542
43dbNPdxKfU3ZkJteR9U84dGGc4SkGcVDLjEzU3gpump,9,5,True,0,32860,0,149,5,0,292616336,0,1,-6258305,0,1,164217388
8P3CGNvDiKnS2AeVq8UsYoKyNLRUg2Ym3RgZESpgpump,1,1,False,0,30813,0,0,1,0,100015619,0,1,-100015619,0,1,100015619
