mint,t0_observed_at_us,t0_observed_at_utc,trade_events_5m,root_class,quote_candidate_events,unresolved_events,diagnosis_counts_json,quote_mints_json,ix_names_json,tail_decode_json
9R4FztKGrvaiQMAJiRrC9ZNT49KBMRSwnf69U39Kpump,1787069771568392,2026-08-18T16:16:11.568392+00:00,23,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,23,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":23}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":23}","{""buy"":7,""buy_exact_quote_in"":6,""sell"":10}","{""True"":23}"
9LNcZUB7BQcLeQAUWNiKiMtm96DTUXsBPptsQrpmpump,1787069667458860,2026-08-18T16:14:27.458860+00:00,5,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,5,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":5}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":5}","{""buy"":2,""sell"":3}","{""True"":5}"
85b8MNcDBokczdYDH8dWaGqMwXWjYZNsFMcMrckrpump,1787069640704701,2026-08-18T16:14:00.704701+00:00,4,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,4,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":4}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":4}","{""buy_exact_quote_in"":2,""sell"":2}","{""True"":4}"
2NHvuf6gN9nQy57VkJgk9ppxj8tKx4AHXCTcNPDwpump,1787069567046205,2026-08-18T16:12:47.046205+00:00,5,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,5,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":5}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":5}","{""buy"":3,""buy_exact_quote_in"":2}","{""True"":5}"
5yyya7ErjAXojujC34a58NY8JC1TMSivKSz1Tj4dpump,1787069520236644,2026-08-18T16:12:00.236644+00:00,9,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,9,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":9}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":9}","{""buy"":4,""buy_exact_quote_in"":2,""sell"":3}","{""True"":9}"
Ez6sTr5JR7GwSuzocy9QbHGsQ9YfeuaAq7XgY33bpump,1787069457233773,2026-08-18T16:10:57.233773+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
BbZSWiCj7Qz4v73yJLoSxzc2EUsL5m1gfS6exCFGpump,1787069423164092,2026-08-18T16:10:23.164092+00:00,4,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,4,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":4}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":4}","{""buy"":2,""sell"":2}","{""True"":4}"
5gx8ApnXvs5tYSbARtoezSckxeYMXbndnMLRoLqBpump,1787069383902358,2026-08-18T16:09:43.902358+00:00,17,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,17,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":17}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":17}","{""sell"":17}","{""True"":17}"
78YMH3aNCa2V3RufwYN1Gr9debv9XiwDQhCszJhwpump,1787069349938201,2026-08-18T16:09:09.938201+00:00,4,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,4,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":4}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":4}","{""buy"":1,""buy_exact_quote_in"":1,""sell"":2}","{""True"":4}"
FakbhwDTDumLa9wJDqdqhGfNL7Qkay6TX8ih2w4gpump,1787069339270166,2026-08-18T16:08:59.270166+00:00,3,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,3,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":3}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":3}","{""sell"":3}","{""True"":3}"
