mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
2ftPYD79z9EW67uK7b4K1H9JmoVdjJxD43fnxK4Apump,1787075968796474,2026-08-18T17:59:28.796474+00:00
2g4u7bneR6wSf2fbRJsW8UVMAXNVUEwewZrxVivcpump,1787069775883518,2026-08-18T16:16:15.883518+00:00
2gBHmCqyhJo1vy7k3H6F3w59K61nHfUuVp1XWx1Ppump,1787068283832902,2026-08-18T15:51:23.832902+00:00
2gPyHUZzpcAuaqsYFxiFnJUq1zj38ph62X5ZuAwtpump,1787067686641310,2026-08-18T15:41:26.641310+00:00
2gWYMkU6UtW8fNCCWeSs585xL4dcfuhgUFj2EiLSpump,1787067307207376,2026-08-18T15:35:07.207376+00:00
2ggLRbxFpjdYoKzajKx3sPmF1s2pLrmfwGt62myehCi1,1787068261992043,2026-08-18T15:51:01.992043+00:00
2hBFV1CuU2uQ5BA8iJh2HWT7kNQMHW7bNPU1tLJipump,1787067312109985,2026-08-18T15:35:12.109985+00:00
2hFhxEgBroVPoHn1VJGXiEt5vBu1oWDoz5sAKS4epump,1787065353976666,2026-08-18T15:02:33.976666+00:00
2hJgAt7bdCq6djJzuRnhsfDF1QfpqnMeTxuhLcQ4pump,1787068272072073,2026-08-18T15:51:12.072073+00:00
2hQNWgkFeYF8hcNUb61NfdGCtSWjcXc24istWyHzpump,1787069501065124,2026-08-18T16:11:41.065124+00:00
2hXJdbf1Dy6bkdYCPP839iSjj7pmhzWYzjAtLmqAnWs7,1787075582629775,2026-08-18T17:53:02.629775+00:00
2hpHxtxf64cf4unk9Ax12hbuQypdHziBaz3pwvndpump,1787064409769383,2026-08-18T14:46:49.769383+00:00
2iiRebCowqoukDADMtXxn3x1m76kjq4oWJwWBYH4pump,1787070711938425,2026-08-18T16:31:51.938425+00:00
2j9SETNLSWb3u4po8iXmtAFaDDS4jEGF5Gi7SkZECEpR,1787069096885954,2026-08-18T16:04:56.885954+00:00
2jFVmfUL4HZZxkdVTpmnyXGBYaAoRx7hz178N2bZpump,1787069407682222,2026-08-18T16:10:07.682222+00:00
2jtvNSNsvDee4R8xhkjpKTefjCo52mrDJCTfBkBnpump,1787066940808069,2026-08-18T15:29:00.808069+00:00
2kcGMZMBobwiCoKzDhVkcDNc29PyTDnz6um3jvmGpump,1787067771045650,2026-08-18T15:42:51.045650+00:00
2ktFEdP93M7LA2Kq33kpLSWGTwpAdmgcKuRoVk1ADW3n,1787064224313306,2026-08-18T14:43:44.313306+00:00
2m2uuK24rYSVg8sNu1jy72rAG8gdfGnm2ouQE3VVpump,1787064043647478,2026-08-18T14:40:43.647478+00:00
