parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0004-C-042-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL6000,42,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,4,6000,3901,88,3734,78,1,0,88,3901,70,-356,370,1149,59,-1244,120,1345,30,-902,-91,1320,10,-3380,-595,5769,7,-3144,4418,7195,2,-6374,-6374,-3113,2,59,120,30,-91,False
FP1-EXP0004-C-043-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL30000,43,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,4,30000,3901,79,3742,80,0,0,79,3901,63,-380,178,1017,50,-593,120,1414,26,-490,620,1469,9,-3144,-132,3214,5,3349,4418,7134,1,-3113,-3113,-3113,1,50,120,26,620,False
FP1-EXP0004-C-044-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL93000,44,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,4,93000,3901,36,3783,82,0,0,36,3901,29,-326,690,1722,22,-1128,681,1703,12,-902,639,1320,6,-4262,314,2403,3,-236,1611,4418,0,,,,0,22,681,12,639,False
FP1-EXP0004-C-045-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL185000,45,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,4,185000,3901,15,3803,83,0,0,15,3901,12,-613,18,860,8,-1748,-569,193,4,-2083,-902,-622,3,-6265,-4262,-77,2,-779,-779,4418,0,,,,0,8,-569,4,-902,False
FP1-EXP0004-C-046-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL0,46,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,8,0,3901,38,3781,82,0,0,38,3901,29,-214,204,809,27,-357,250,1110,14,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,27,250,14,-112,False
FP1-EXP0004-C-047-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL6000,47,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,8,6000,3901,37,3782,82,0,0,37,3901,27,-231,236,931,25,-357,252,1110,13,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,25,252,13,-112,False
FP1-EXP0004-C-048-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL30000,48,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,8,30000,3901,33,3786,82,0,0,33,3901,25,-231,204,931,24,-357,252,1110,12,-958,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,24,252,12,-112,False
FP1-EXP0004-C-049-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL93000,49,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,8,93000,3901,22,3797,82,0,0,22,3901,18,-466,114,931,16,-569,250,1080,8,-622,-327,929,3,-394,-77,4047,1,-779,-779,-779,0,,,,0,16,250,8,-327,False
FP1-EXP0004-C-050-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL185000,50,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,8,185000,3901,8,3810,83,0,0,8,3901,6,-294,18,757,5,-569,-497,193,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,5,-497,1,-622,False
FP1-EXP0004-C-051-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL0,51,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,0,3901,207,3645,49,0,0,207,3901,111,-225,220,1304,109,-842,84,1215,52,-1280,166,1469,24,-2746,314,3214,22,-4323,-1403,2808,10,-8571,-6374,-2551,10,109,84,52,166,True
FP1-EXP0004-C-052-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL6000,52,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,6000,3901,163,3673,65,0,0,163,3901,95,-128,261,1225,91,-539,133,1284,44,-627,309,1469,18,-1870,314,3214,16,-4501,-2584,2808,7,-8851,-6374,-2551,7,91,133,44,309,False
FP1-EXP0004-C-053-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL30000,53,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,30000,3901,119,3709,73,0,0,119,3901,76,-288,261,1355,69,-406,133,1284,33,-294,390,1176,10,314,1121,6535,7,-2772,-2584,3349,2,-2551,-2551,3040,2,69,133,33,390,False
FP1-EXP0004-C-054-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL93000,54,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,93000,3901,55,3768,78,0,0,55,3901,35,-594,788,1934,31,-1128,443,1703,15,-1011,526,1320,6,314,356,3046,3,-2772,-236,2213,0,,,,0,31,443,15,526,True
FP1-EXP0004-C-055-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL185000,55,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,185000,3901,21,3797,83,0,0,21,3901,13,-326,18,860,9,-1128,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-056-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL0,56,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,0,3901,163,3677,60,1,0,163,3901,98,-225,205,1321,87,-569,96,1501,41,-294,391,1535,14,-201,1121,6933,12,-3166,-2584,1544,6,-6620,-6374,-2551,6,87,96,41,391,True
