mint,first_tradable_observed_at_us,trade_events_5m,priced_trade_events_5m,unpriced_trade_events_5m,first_trade_priceable,any_priceable_trade_5m,price_coverage_class,return_from_t0_metric_available,short_window_price_metric_available,gap_event_count,reserve_defect_codes
8SQ2kAo4oqmEwjgXgcLV8oib2Qo8w6KMhcLuAqhUpump,1787076748667756,4,4,0,True,True,FULLY_PRICED_5M,True,True,0,
mbsUkVJNN3n1docGZZxRAA2vT67j4b3i3Uv6g7dpump,1787076747032946,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
9ofSHjkKaBxkbZ6WtXPfrtTWZ739sMdtpSk3pdW4pump,1787076745477206,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
J4xP2GWnTcXEPkDsumSbjU2sxaDYD7mebqxvxYicpump,1787076744184625,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
AKgLZJ7ZKtSZJbHUTcsqGjNCeU5hdkahUbk8ZxBLpump,1787076744135624,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
AmU1A4AHMXYZgo7oBWFKUNVFdD1RRL71DG44JhoApump,1787076742908875,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
CHnFDNY7yjALt3UswGt4z7r4JaJ47v7nzXjJgrgbpump,1787076742817880,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
DR5stLQ1REsfUmNxB6882NEmJuXVFLVad2Jetnw6pump,1787076741566361,16,0,16,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
5H3yawFnDbCr9yGXtbp6SL7tQRKXQCQEBDki8XjCpump,1787076741485363,24,24,0,True,True,FULLY_PRICED_5M,True,True,0,
51XG8a5nVP1C6ussXiS5uhCN62qLfzQhpcxqZ1Bxpump,1787076741426362,1,0,1,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
bqxeDEw8MtMvAra5RmfcMD7Nqz7vt18ZPzCHfxVpump,1787076740154423,19,19,0,True,True,FULLY_PRICED_5M,True,True,0,
K5fvUGDgUJTCivcLbKyy7L7Msmd8x7rDYQkwUQfpump,1787076740038422,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
5faGDXwbiBq5miEMyuv79tXd8oFMgpAFMXGA7Xexpump,1787076739821676,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
2UdWPq4SvnFrUJtcmdiHt54JbYTMkavd446LZdHDpump,1787076738559451,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
FHhPcCkRZRbyaKQn6uN1Uf5jYadvnFzohGxjWmSHpump,1787076738467446,13,13,0,True,True,FULLY_PRICED_5M,True,True,0,
6L23brf3xkaSsD5mpG49rkdYWpUF7Pb2pujhqJcLpump,1787076737243715,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
4MSpPMLsCDGjo161D1BpnxDEtr1wTHNMiHSrev9upump,1787076737035198,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
Dipy9KTCX53GEjRpPxh3dn6Y6tcN7mrf3vL3To6Qpump,1787076735823607,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
DQxaq3uzLZifBuKwyN33zZFqEgVe5A13Rtzm1SAFpump,1787076735615608,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
2VLVnUfyU4UNvbZCZUfVRLGJKQRJS9UQ5mRSswwgpump,1787076735559613,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
6VQxvirCSMXkidzYPaH8hheoujCx3qAwidbNe685pump,1787076735541611,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
ukWSz1Bx9ZPeQCU5UcFmP1nuVuDw1YRXNkxEphRmHj4,1787076735521612,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
J9F3kEV4o3MNMDZ941k1pMv6dizd1LisSVj9uRGPpump,1787076735480607,50,50,0,True,True,FULLY_PRICED_5M,True,True,0,
DrkPf7FREMSJT3BubbLWzgr6eYZozXeQpdEKugBHpump,1787076734205874,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
GDFGRFA98nsJYD9SYyWuk4YDXV73ffP211JKFRVZpump,1787076734153361,17,17,0,True,True,FULLY_PRICED_5M,True,True,0,
EVvmWSviacYbdi2HmywGMcsL72b3dps5JjXiduR3pump,1787076733912823,46,46,0,True,True,FULLY_PRICED_5M,True,True,0,
7qsyyPBvvVGayoNibVcaqNu5ePpg9ftxQUUxCpRKpump,1787076733893819,16,16,0,True,True,FULLY_PRICED_5M,True,True,0,
A1qj4xebzHwjM4gz9LqLGYWLkXyRJdZX6kEQqCCbpump,1787076732797823,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
KjzjkuZ8r6BBkQBPNsgSGsmxppwFmPbrgWcnGpnpump,1787076732649822,32,32,0,True,True,FULLY_PRICED_5M,True,True,0,
Fusiy3cT5ZTVkmFZyTQ1kLFDZ8otdcB8C4R1S8pC1S7L,1787076732484044,18,18,0,True,True,FULLY_PRICED_5M,True,True,0,
6nZgBu1Un7t9VcLkKN5PNMXSxEhYFLDsAwL6JeF1pump,1787076732446047,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
49bo69QPveB1wCWWgUQYfkMr299VZmTtctGfimuVTuUY,1787076732365043,23,23,0,True,True,FULLY_PRICED_5M,True,True,0,
5w2zL6fRKxxfBNu2nYC7EUFyeKreAYH9sWcJY1Bxpump,1787076732356042,31,0,31,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
24qYt9vrVyp6T2EueAURGymF9MrpnDH6ceedMi9dpump,1787076732349042,37,37,0,True,True,FULLY_PRICED_5M,True,True,0,
8Ra4Rbqfn3dDSzvVBWV9Qbxh95AzCNvJ3QPxLAAYF5yf,1787076732291048,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
99vYtpjVMtRN2P6fKykci6ehtWnKM61ZcBLmbbV1pump,1787076731230011,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
8wDRMU2vkVjSgXQZ6mwF6uzH6cHtvTzxxL8AZ7Dbpump,1787076731023006,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
Egzjvops7QCrSpoLs1cbH9Jh78zxx2RfEu7HaVfypump,1787076731007007,25,25,0,True,True,FULLY_PRICED_5M,True,True,0,
FBPK8CoKzipKzVxE1KZbC98B4DMQ3qLeGtXgVy5tpump,1787076730977008,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
24qYL6eQCpyN8WvBcVM6wUco7w14cvcYxw1koMtmpump,1787076730761884,77,77,0,True,True,FULLY_PRICED_5M,True,True,0,
EseYwg2iVJju6u3H4gE5bH8N9uWDqMsTWU8nAV1epump,1787076730714882,75,75,0,True,True,FULLY_PRICED_5M,True,True,0,
A6eQxu4uXKsEcLfX4Dy8rDzwLmqkACMaSfnMuU4Ppump,1787076730693883,48,48,0,True,True,FULLY_PRICED_5M,True,True,0,
H64hLpEnAAuHoKgzei5HFt217CEpmx9UPMoRtquCpump,1787076730687883,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
CciwZdzuutzcihRxzZtX4n8s73q6WgDPktXPoZ7Wpump,1787076730661882,71,71,0,True,True,FULLY_PRICED_5M,True,True,0,
8kC6xAByh5KyDxrWH1Y9PWkWP3p3RVyfo14XzuQ3WN5M,1787076027408792,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
Cau7ZY9fZn9GWYrjCMGiQuNr7fETQZUfcUve5wPiVDnh,1787076027361842,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
EVhtQSkjMHPwyTm6zpBQJR2ow9QyWxBP6mJEKV5Kpump,1787076004517652,19,19,0,True,True,FULLY_PRICED_5M,True,True,0,
CaZu4YyRfVqMBynVd2o7LQeDQPGayu6oJQLV3QT7QKYU,1787076000099268,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
24qTzcFU4LHbnCD9jif6nrpn17M6XayF7C5CPVzZpump,1787076000093754,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
8A8XE8AseWxQEGaaZ4Fw5eqitxThPcYSd9mDuF5Dpump,1787076000087241,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4fhMyvMaus6ujEhbt6VbS5Pnyf8CbvXWLJdW4JvZpump,1787075997755261,1,0,1,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
CHRskLZjjcuETHRbyWNKvx4Mt333GuNHrZw1WJrLpump,1787075990754537,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
EUF4Cetz7HzMV7stvk8SmY9rJhZx3ZLZcq5T4aDEpump,1787075988317637,13,13,0,True,True,FULLY_PRICED_5M,True,True,0,
