parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_count,rejected_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier,neighbor_count,neighbors_with_15s_median,neighbor_15s_p50_median_bps,neighbor_15s_p50_min_bps,neighbor_15s_p50_max_bps,neighbors_with_30s_median,neighbor_30s_p50_median_bps,neighbor_30s_p50_min_bps,neighbor_30s_p50_max_bps
FP1-EXP0002-A-155-R12500-T2-B9,12500,2,9,23,1,15,247,7,392,True,3,3,238,150,247,3,390,22,392
FP1-EXP0002-A-156-R12500-T3-B1,12500,3,1,54,1,27,150,11,-583,False,4,4,150,150,238,4,-583,-583,297
FP1-EXP0002-A-157-R12500-T3-B2,12500,3,2,49,1,26,150,11,-583,False,5,5,150,150,247,5,-583,-583,297
FP1-EXP0002-A-158-R12500-T3-B3,12500,3,3,43,1,23,247,10,-583,False,5,5,238,150,247,5,-583,-583,297
FP1-EXP0002-A-159-R12500-T3-B5,12500,3,5,33,1,17,150,8,22,False,5,5,201,150,247,5,22,-583,392
FP1-EXP0002-A-160-R12500-T3-B9,12500,3,9,23,1,15,247,7,392,True,4,4,242,150,247,4,391,22,392
FP1-EXP0002-A-161-R12500-T5-B1,12500,5,1,53,1,27,150,11,-583,False,4,4,150,150,201,4,-583,-583,331
FP1-EXP0002-A-162-R12500-T5-B2,12500,5,2,49,1,26,150,11,-583,False,5,5,150,150,247,5,-583,-583,297
FP1-EXP0002-A-163-R12500-T5-B3,12500,5,3,43,1,23,247,10,-583,False,5,5,238,150,247,5,-583,-583,297
FP1-EXP0002-A-164-R12500-T5-B5,12500,5,5,33,1,17,150,8,22,False,5,5,201,150,247,5,22,-583,392
FP1-EXP0002-A-165-R12500-T5-B9,12500,5,9,23,1,15,247,7,392,True,4,4,242,150,247,4,391,22,392
FP1-EXP0002-A-166-R12500-T7-B1,12500,7,1,50,1,27,150,11,-583,False,4,4,150,0,238,4,-460,-583,331
FP1-EXP0002-A-167-R12500-T7-B2,12500,7,2,48,1,26,150,11,-583,False,5,5,150,0,247,5,-583,-583,297
FP1-EXP0002-A-168-R12500-T7-B3,12500,7,3,42,1,23,247,10,-583,False,5,5,196,150,247,5,-338,-583,297
FP1-EXP0002-A-169-R12500-T7-B5,12500,7,5,33,1,17,150,8,22,False,5,5,201,150,247,5,22,-583,392
FP1-EXP0002-A-170-R12500-T7-B9,12500,7,9,23,1,15,247,7,392,True,4,4,242,150,247,4,206,22,392
FP1-EXP0002-A-171-R12500-T24-B1,12500,24,1,33,1,18,0,9,-338,False,3,3,150,0,196,3,-338,-583,238
FP1-EXP0002-A-172-R12500-T24-B2,12500,24,2,33,1,18,0,9,-338,False,4,4,173,0,196,4,-338,-583,238
FP1-EXP0002-A-173-R12500-T24-B3,12500,24,3,32,1,17,196,9,-338,False,4,4,217,0,247,4,-338,-583,238
FP1-EXP0002-A-174-R12500-T24-B5,12500,24,5,28,1,15,196,8,-338,False,4,4,217,150,247,4,22,-338,238
FP1-EXP0002-A-175-R12500-T24-B9,12500,24,9,21,1,14,247,7,22,False,3,3,241,196,247,3,331,-338,392
