parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0003-B-052-ROBUST_2-R2000-T3-U5-PD2500-9000,52,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,9000,3901,71,3824,6,0,0,71,3901,48,-52,195,542,45,-106,407,923,29,-621,392,872,10,-2584,900,4048,7,-2772,-2446,4192,3,-8588,-2551,3614,3,45,407,29,392,True
FP1-EXP0003-B-053-ROBUST_2-R2000-T3-U5-PD3000-3500,53,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,3000,3500,3901,8,3718,175,0,0,8,3901,4,-780,84,1089,6,-1175,0,1215,3,-1004,22,2519,0,,,,0,,,,0,,,,0,6,0,3,22,False
FP1-EXP0003-B-054-ROBUST_2-R2000-T3-U5-PD3000-5500,54,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,3000,5500,3901,39,3765,97,0,0,39,3901,29,5,315,790,24,-796,238,721,17,-1004,-253,872,6,-253,900,2818,5,-2584,-2446,-253,2,-2551,-2551,3614,2,24,238,17,-253,False
FP1-EXP0003-B-055-ROBUST_2-R2000-T3-U5-PD3000-6000,55,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,3000,6000,3901,43,3777,81,0,0,43,3901,30,5,264,790,25,-736,247,721,18,-1004,-253,872,6,-253,900,2818,5,-2584,-2446,-253,2,-2551,-2551,3614,2,25,247,18,-253,False
FP1-EXP0003-B-056-ROBUST_2-R2000-T3-U5-PD3000-6500,56,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,3000,6500,3901,46,3792,63,0,0,46,3901,32,-106,264,677,28,-796,238,721,20,-2118,-253,543,8,-4043,-253,1121,6,-2772,-2584,-253,3,-8588,-2551,3614,3,28,238,20,-253,False
FP1-EXP0003-B-057-ROBUST_2-R2000-T3-U5-PD3000-9000,57,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,3000,9000,3901,62,3833,6,0,0,62,3901,40,-106,238,528,36,-796,238,721,25,-1004,22,543,8,-4043,-253,1121,6,-2772,-2584,-253,3,-8588,-2551,3614,3,36,238,25,22,False
FP1-EXP0003-B-058-ROBUST_2-R2000-T3-U5-PD4000-5500,58,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,4000,5500,3901,23,3778,100,0,0,23,3901,17,5,447,816,11,-967,238,549,10,-2303,-810,517,4,-2584,-253,900,4,-2772,-2584,-2446,2,-2551,-2551,3614,2,11,238,10,-810,False
FP1-EXP0003-B-059-ROBUST_2-R2000-T3-U5-PD4000-6000,59,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,4000,6000,3901,28,3791,82,0,0,28,3901,19,5,447,1092,13,-736,238,517,12,-2303,-253,504,4,-2584,-253,900,4,-2772,-2584,-2446,2,-2551,-2551,3614,2,13,238,12,-253,False
FP1-EXP0003-B-060-ROBUST_2-R2000-T3-U5-PD4000-6500,60,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,4000,6500,3901,31,3806,64,0,0,31,3901,21,5,447,816,16,-967,0,517,14,-2303,-253,517,6,-4043,-2584,900,5,-2772,-2584,-2446,3,-8588,-2551,3614,3,16,0,14,-253,False
FP1-EXP0003-B-061-ROBUST_2-R2000-T3-U5-PD4000-9000,61,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,4000,9000,3901,47,3848,6,0,0,47,3901,29,5,300,677,24,-967,238,559,19,-2118,-171,517,6,-4043,-2584,900,5,-2772,-2584,-2446,3,-8588,-2551,3614,3,24,238,19,-171,False
