actor_id,actor_kind,dimension,segment,n,small_cell,fills,unresolved,fill_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,wins,losses,win_rate,equity_label
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,174,16,0.915789473684,-564465387,-3244053.948276,70,104,0.402298850575,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,128,4,0.969696969697,-171993175,-1343696.679688,46,82,0.359375000000,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,149,9,0.943037974684,-284067120,-1906490.738255,47,102,0.315436241611,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,147,8,0.948387096774,-438739412,-2984621.850340,56,91,0.380952380952,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,231,18,0.927710843373,-274245271,-1187208.965368,86,145,0.372294372294,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,63,6,0.913043478261,10008090,158858.571429,24,39,0.380952380952,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,153,6,0.962264150943,-1212982845,-7927992.450980,45,108,0.294117647059,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,151,7,0.955696202532,17954932,118906.834437,64,87,0.423841059603,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,197,10,0.951690821256,365064381,1853118.685279,90,107,0.456852791878,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,195,11,0.946601941748,-1180143855,-6052019.769231,75,120,0.384615384615,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,12:00-17:59,93,False,90,3,0.967741935484,-266183784,-2957597.600000,37,53,0.411111111111,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,18:00-23:59,129,False,123,6,0.953488372093,-333044922,-2707682.292683,44,79,0.357723577236,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,177,13,0.931578947368,-81011258,-457690.723164,87,90,0.491525423729,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,129,3,0.977272727273,-236845919,-1836014.875969,53,76,0.410852713178,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,151,7,0.955696202532,-496718250,-3289524.834437,50,101,0.331125827815,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,148,7,0.954838709677,-599732753,-4052248.331081,56,92,0.378378378378,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,235,14,0.943775100402,-572895395,-2437852.744681,87,148,0.370212765957,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,63,6,0.913043478261,-8426161,-133748.587302,28,35,0.444444444444,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,154,5,0.968553459119,-958465935,-6223804.772727,54,100,0.350649350649,REALIZED_CLOSED_EQUITY
TP10_SL30_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,153,5,0.968354430380,125479311,820126.215686,77,76,0.503267973856,REALIZED_CLOSED_EQUITY
TRAIL_A10_G3_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,196,11,0.946859903382,398321323,2032251.647959,81,115,0.413265306122,REALIZED_CLOSED_EQUITY
