mint,price_identity,max_return_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_drawdown_depth_bps,max_3s_buys,max_3s_net_flow_reserve_ppm,broad_impulse_reached,broad_impulse_age_ms,broad_impulse_return_bps,broad_impulse_trades,broad_impulse_unique_buyers,broad_pullback_reached,broad_pullback_age_ms,broad_pullback_depth_at_activation_bps,max_pullback_depth_after_broad_impulse_bps,broad_proto_response_reached,broad_proto_response_age_ms,max_rebound_after_pullback_bps,max_3s_buys_after_pullback,max_3s_net_flow_reserve_ppm_after_pullback,max_reclaim_extension_after_proto_response_bps,data_valid_states,data_invalid_states
2RWuyLjvyqfSUvH6H86keTYrw46fDgDnKnv3MsdYpump,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,1,0,0,0,-438,False,,,,,False,,,,False,,,,,,1,0
2RbqmaKBqqE7pZJ8Muo5by5rUb75Q36cSw3CUmoupump,SOL_NATIVE,1223,38,17,4572,4,77822,True,2,981,3,3,True,2383,1039,4572,True,46223,1802,4,71828,1367,38,0
2RmJ1phKAfZDaawiej3kDjR8EjfegUiNhyXZsMe6pump,SOL_NATIVE,0,1,0,0,0,-1227,False,,,,,False,,,,False,,,,,,1,0
2SYyejdvTU8wF12HWCxDfvP9QEyh2WCX73tnyohCpump,SOL_NATIVE,0,1,0,0,0,-1,False,,,,,False,,,,False,,,,,,1,0
2SfHDNT6ReUjyZdXUkL4MNMkrsR38d3f7dRnYmfxpump,SOL_NATIVE,0,3,1,2627,1,25662,False,,,,,False,,,,False,,,,,,3,0
2TDMnabsjqxjuM279NdqQsZg67jfyvq4AkzVQ9Wtpump,SOL_NATIVE,5744,22,14,1565,7,295251,True,1,1230,2,2,True,15299,1014,1565,True,19367,1601,3,68708,1027,22,0
2TeeNpNVkSW5qBjhPveUomtQWz3jjKQ4QVYXjierpump,SOL_NATIVE,676,19,6,6535,6,38110,True,4,538,5,5,True,140072,6064,6535,False,,0,0,-10787,,19,0
2UdWPq4SvnFrUJtcmdiHt54JbYTMkavd446LZdHDpump,SOL_NATIVE,1656,3,1,3036,1,1616,True,116844,1656,2,1,True,207437,3036,3036,False,,,,,,3,0
2UsK2vWVrTWCfunALiP3GHnfuVLjpn69jXERu1mcpump,SOL_NATIVE,52,3,1,13,1,3922,False,,,,,False,,,,False,,,,,,3,0
2UyZU554RYa9egtZTLSut5iD83RQ87i1s9Cf6w9fpump,SOL_NATIVE,0,1,0,0,0,-33,False,,,,,False,,,,False,,,,,,1,0
