mint,price_path_class,price_identity,flow_compatibility,flow_identity_conflict,strategy_error,strategy_final_state,strategy_candidate_compat_only,since_t0_trades,since_t0_sol_buy_lamports,since_t0_sol_sell_lamports,since_t0_quote_buy_raw,since_t0_quote_sell_raw,since_t0_net_flow_raw,since_t0_net_flow_reserve_ppm,sol_legacy_parity
BtscEaXC87G6pHwH3QxBqcMGtGDdkXVsqt1bZZfLpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,IMPULSE_CONFIRMED,False,3,46699092,72671333,46699092,72671333,-25972241,-594,True
BtwR42hq1a7ou6kdbJ4SLyT5fi1JhR4R5riZth15pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,1622213,0,1622213,-1622213,-53,True
Bu1HgSPsrq3ePENKaKAsQ38U3K65PEgg1YXLDBqdpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RECLAIM,False,14,111664558,70031052,111664558,70031052,41633506,271501,True
Bu1NyoLKCUu7RGiRrPD8PGQLTdo6UucUx1UZ6B4apump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,9999,0,9999,9999,0,False
Bu8ATST8UP24Ci2GqLbqdkockzyTPji3hC6RYg7fpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,67753349,0,67753349,-67753349,-2146,True
BuE2jWaSdAH5EAFBZVtqdroBDuwKAZvrSeRCSFqZpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,9905894,0,9905894,-9905894,-299,True
BuE9duiToFMfJ6q3wCn3d2KrzdrefqgN71kaTwtUpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,55743715,0,55743715,-55743715,-1691,True
BuQsCw5eNFJ2vVJ4GoG5Pa2y52avZbYHEduarBSvpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,987653,126975087,987653,126975087,-125987434,-7233,True
ButgfQfUNkGd19tXhDpuwxRDqqnh8vjGWPck5Jjjpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,2798,0,2798,2798,0,False
BuyVSuqtMorMjX4AYEi6uvFitZQqJoW6ryAMJLXcpF56,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,27654320,168148693,27654320,168148693,-140494373,-4385,True
BvRdWcxwFMNVqkErqchCRWMd9SUKQxMQZbpbfSnQpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,987654,0,987654,0,987654,33,True
Bw186LPGtEWC3UVwfFEdTVGKH1CxwZWfHh6uj4Uapump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,321232834,318469273,321232834,318469273,2763561,-67,True
Bw22pQm9guDJbvkA5hpr91kaqSgAbamsC2LjbWtBpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,10271534,10000,10271534,10000,10281534,342,False
Bw3DgRde7VjM8keGMAvwE7b6psfdUEdPcdKJgW99pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,321087224,0,321087224,-321087224,-10703,True
Bw3hp1AGgiitqao3DRyXYPryazfuKSX7NsL2n72ppump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,5,1215460545,0,1215460545,0,1215460545,39513,True
BwBtDFdDXo9Rg14tGSv6ygkAF7q5okojKHXU4Ghmpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,0,1618080814,0,1618080814,-1618080814,-36226,True
BwydP2DH2GF86ZTvoJmSeZVSC749XhLqJ2hHxTkTpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,100000,0,100000,0,100000,3,True
BwzaQ1ABdHzmsen9c5armc3n2kYcSYFCac3F1gx2pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RESPONSE,False,19,2542222211,2429355900,2542222211,2429355900,112866311,3068,True
Bx7RNf1xJm4v4SpXuaKA6h61FMYBfUwsTp1oS7R4pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,9999,0,9999,9999,0,False
BxDKMQymhcru3fP5kUoftXn1dfqWYFJR5xizutespump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,11,123930897,98492865,123930897,98492865,25438032,237,True
BxLFMN5dxh6NbuUN3cJoa25gwq5E5SBkmM48GSokpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,IMPULSE_CONFIRMED,False,3,2444444445,0,2444444445,0,2444444445,77315,True
BxND31ShqukkDNcuJwu6FWdyXhWzmNDoR1cpv9BDyQiX,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,0,116631007,0,116631007,-116631007,-3794,True
BxaBbACnyDobzDzAGSDx6AwzoCexk4vx1SdpK6C5pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,294007399,0,294007399,-294007399,-9800,True
BxbnQJKY3XswFe2Q1BtxibFZRFAnVD6YgyAYwQCopump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,4,44773332,2750578405,44773332,2750578405,-2705805073,-69851,True
Bxi6TiXXC5rA33D4cM5orXGS44XXqS7PKDzJZbFopump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,64,1445763538,1054330807,1445763538,1054330807,391432731,90517,True
BxmxMxrVG3JkxVjpisa4hYshFfcjQNQErZkLKeHypump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,1178790275,0,1178790275,-1178790275,-37708,True
By9bZne95VjqPdrT8JAQaFnvh6t7ELdbfbknUw3jpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RESPONSE,False,25,6486974835,2741154635,6486974835,2741154635,3745820200,115541,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,QUOTE_ONLY,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,33,0,0,751082782,625851611,125231171,59432,
Bydzbc3QtT7TnXgUsaKqdYMmFBeFAe643gXRgtcYpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,9359264,0,9359264,-9359264,-312,True
ByhbsVE8W2m4bn1Z5P7NCYusjBRttPZvGjTQ2fZWpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,54302652,0,54302652,-54302652,-1354,True
Byxo4MtBVhLfUGBQhSHNHDy8uHjLt3LwrtUtNDfUpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,PULLBACK_ACTIVE,False,8,10971548328,197164492,10971548328,197164492,10774383836,290269,True
C1M67zE9dxmrf8SDWPjrFE6PrSedYGqeqejnhv8Lpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,999999999,0,999999999,-999999999,-33333,True
C1Qzvsh3T8ktt6nUrxSjg7qn7mi1e26A23dR37Rxpump,QUOTE_ONLY,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,59,0,0,582434227,539989343,42444884,5510,
C1YA1dDK8uuzwpUnvRM6Wf3KAiNTELT6AS92SMgE63Mc,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RECLAIM,False,75,11932253232,13205000048,11932253232,13205000048,-1272746816,-45401,True
C1ZCS31ouZWqCVygUE2Rk9GdKebXtHSbpMuouSkG75HF,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,0,625444292,0,625444292,-625444292,-17495,True
C1ckN7bM1Bc3MP1ktQpCzgcj1C4DZSZ8uNuEEm1P2dG7,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,42157019,0,42157019,-42157019,-1205,True
C1dh7hdX1QL8BigvMgcoY3pjjriUvCDvEUDE91e2pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,99,0,99,99,0,False
C1qt4W66MEsRUunBvpQpG2NxDeJekrAw9HJPmumzpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,11,8995555555,1699324306,8995555555,1699324306,7296231249,190263,True
